superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000681,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001072,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant 334-1107
http://purl.obolibrary.org/BIO/BIO_0000652,MENTOR MemoryShape Tall Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001712,MENTOR MemoryShape Tall Height/High Profile Breast Implant 334-1404
http://purl.obolibrary.org/BIO/BIO_0000652,MENTOR MemoryShape Tall Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001356,MENTOR MemoryShape Tall Height/High Profile Breast Implant 334-1054
http://purl.obolibrary.org/BIO/BIO_0000668,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001725,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant 354-1058
http://purl.obolibrary.org/BIO/BIO_0001061,MENTOR MemoryShape Medium Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001368,MENTOR MemoryShape Medium Height/High Profile Breast Implant 334-1002
http://purl.obolibrary.org/BIO/BIO_0001061,MENTOR MemoryShape Medium Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001733,MENTOR MemoryShape Medium Height/High Profile Breast Implant 334-1102
http://purl.obolibrary.org/BIO/BIO_0000681,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001373,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant 334-1057
http://purl.obolibrary.org/BIO/BIO_0000672,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001728,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant 334-1305
http://purl.obolibrary.org/BIO/BIO_0000672,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001726,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant 334-1405
http://purl.obolibrary.org/BIO/BIO_0000681,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000684,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant 334-1157
http://purl.obolibrary.org/BIO/BIO_0000677,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002002,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant 334-1309
http://purl.obolibrary.org/BIO/BIO_0000668,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001997,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant 354-1358
http://purl.obolibrary.org/BIO/BIO_0000681,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001734,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant 334-1307
http://purl.obolibrary.org/BIO/BIO_0001061,MENTOR MemoryShape Medium Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001369,MENTOR MemoryShape Medium Height/High Profile Breast Implant 334-0952
http://purl.obolibrary.org/BIO/BIO_0000668,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001059,MENTOR MemoryShape Medium Height/Moderate Profile Breast Implant 354-1008
http://purl.obolibrary.org/BIO/BIO_0000677,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001066,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant 334-1509
http://purl.obolibrary.org/BIO/BIO_0001061,MENTOR MemoryShape Medium Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002001,MENTOR MemoryShape Medium Height/High Profile Breast Implant 334-0902
http://purl.obolibrary.org/BIO/BIO_0000677,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000680,MENTOR MemoryShape Tall Height/Moderate-plus Profile Breast Implant 334-1059
http://purl.obolibrary.org/BIO/BIO_0000652,MENTOR MemoryShape Tall Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000655,MENTOR MemoryShape Tall Height/High Profile Breast Implant 334-1154
http://purl.obolibrary.org/BIO/BIO_0000652,MENTOR MemoryShape Tall Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001715,MENTOR MemoryShape Tall Height/High Profile Breast Implant 334-0904
http://purl.obolibrary.org/BIO/BIO_0000672,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000674,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant 334-1205
http://purl.obolibrary.org/BIO/BIO_0000652,MENTOR MemoryShape Tall Height/High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001713,MENTOR MemoryShape Tall Height/High Profile Breast Implant 334-1304
http://purl.obolibrary.org/BIO/BIO_0000681,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001372,MENTOR MemoryShape Low Height/Moderate-plus Profile Breast Implant 334-1507
http://purl.obolibrary.org/BIO/BIO_0000672,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001366,MENTOR MemoryShape Medium Height/Moderate-plus Profile Breast Implant 334-1005
