superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002116,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-230
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001518,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-410
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000952,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-170
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002113,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-510
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002117,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-125
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001914,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-560
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000951,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-290
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000950,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-460
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001869,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-380
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001915,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-140
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001187,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-610
http://purl.obolibrary.org/BIO/BIO_0000949,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002114,NATRELLE INSPIRA Responsive Textured Low Profile Breast Implant TRL-320
